1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,c,1,1,1,1,1,1,1,1,1,1,1
1,1, , , , , ,c, ,1,1,1,1,1,1,1, , ,1,1
1, ,b,b,1,1, ,1, ,c,c, , , , , , , ,1,1
1, ,1, ,c, , , ,b, ,c,1,1,1,1,1,1,c,1,1
1, , , ,1, , ,b,b, , ,1,1,1,1,1,1,1,1,1
1, , , , , , , , , , ,1,1,1,1,1,1,1,1,1
1, ,b, , , , ,1,1,1, ,1,1,1,1,1,1,1,1,1
1,1,1,1, ,b, ,1,1,1, ,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1, ,1,1,1, ,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1, ,1,1,1, ,1,1,1,1,1,1,1,1,1
1,1,c, , , , ,1,1,1, ,1,1,1,1,1,1,1,1,1
1,1,1, ,1,1, ,1,1, , , , , ,c,1,1,1,1,1
1,1,1, ,1,1,b,1,1, , ,1,1,1,1,1,1,1,1,1
1,1,1, ,p,b, , , , , ,1,1,1,1,1,1,1,1,1
1,1,1, , ,1,1,1,1, ,c,1,1,1,1,1,1,1,1,1
1,1,1,b, ,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1, , ,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
