1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1, , , ,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,b,b, , , ,1,1,1,1,c,1,1,1,1,1,1,1,1
1,1, , ,1,c, , , , , , , ,1,1,1,1,1,1,1
1,1, , ,1,1,1,1,b,1,c,c, ,1,1,1,1,1,1,1
1,1, , ,1,1,1,1, ,1,1, , ,1,1,1,1,1,1,1
1,1, , ,1,1,1,1, ,1,1, ,1,1,1,1,1,1,1,1
1,1, ,c,1,1,1,1, ,1,1, ,1,1,1,1,1,1,1,1
1,1, ,1,1,1,1,1, ,1, , ,1,1,1,1,1,1,1,1
1,1, ,1,1,c, , ,c, ,b, , ,b, ,1,1,1,1,1
1,1, ,1,1,1,1,1,1, ,1, , , , , , , ,1,1
1,1, ,1,1,1,1,1,1,c,1, ,1,1,1,1,1,b,1,1
1,1, ,1,1,1,1,1,1, , , ,1,1,1,1,1, ,1,1
1,1, ,1,1,1,1,1, ,b, , ,b, ,1,1,1, ,1,1
1,1, ,1,1,1,1, , ,b, , , , , , ,b, , ,1
1,1,c,p, , , , ,1,1, , ,1,1, , , , , ,1
1,1,1,1,1,1,1,1,1,1, , , , , , ,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,c,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
