1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,c, , , ,1,1,1,1,1,1,1,1,1, ,p,1,1,1
1,1,1,1, , ,1,1,1,1,1,1,1,1,1,1, ,1,1,1
1,1,1,1, , , ,1,1,1,1,1,1,1,1,1, , ,1,1
1,1,1,1, ,1,b, , , ,1,1,1,1,1,1,1,b,1,1
1,1,1,1, ,1, ,1,1,b,1,1,1,1,1,1,1, ,1,1
1,1,1,1, ,1, ,1,1, , , ,b, ,1,1,1, ,1,1
1,1,1,1,b,1, ,1,1, ,1,1,1, ,1,1,1, ,1,1
1,1,1,1, , , ,1,1, , ,1,1, ,1,1,1, , ,1
1,1,1,1,1,1, , ,1,b, ,1,c,c, , , , , ,1
 , ,c, , , , , , ,b, , , , , , ,1,1,1,1
 , ,b, , ,b,c, , , , , , ,c, , ,1,1,1,1
1, , , , ,c, , ,1,1,1,1,1,1,1, ,1,1,1,1
1, , ,1,1,1, , ,1,1,1,1,1,1,1,c,1,1,1,1
1,1,b,1,1,1, , ,1,1,1,1,1,1,1,1,1,1,1,1
1,1, ,c, , , , , ,c,1,1,1,1,1,1,1,1,1,1
1,1, , , ,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
